TSDate,Month,Year,serieNames,sales
03-01-1900,10,2013,serie_1,1931
03-01-1900,10,2013,serie_2,769
04-01-1900,10,2013,serie_2,571
04-01-1900,10,2013,serie_1,1411
05-01-1900,10,2013,serie_1,0
05-01-1900,10,2013,serie_2,5
06-01-1900,10,2013,serie_2,5
06-01-1900,10,2013,serie_1,0
07-01-1900,10,2013,serie_2,1341
07-01-1900,10,2013,serie_1,3558
08-01-1900,10,2013,serie_2,723
08-01-1900,10,2013,serie_1,1824
09-01-1900,10,2013,serie_1,1834
09-01-1900,10,2013,serie_2,735
10-01-1900,10,2013,serie_1,1926
10-01-1900,10,2013,serie_2,760
11-01-1900,10,2013,serie_1,1286
11-01-1900,10,2013,serie_2,532
12-01-1900,10,2013,serie_2,5
12-01-1900,10,2013,serie_1,0
13-01-1900,10,2013,serie_2,5
13-01-1900,10,2013,serie_1,0
14-01-1900,10,2013,serie_2,1330
14-01-1900,10,2013,serie_1,3593
15-01-1900,10,2013,serie_1,1925
15-01-1900,10,2013,serie_2,730
16-01-1900,10,2013,serie_1,1819
16-01-1900,10,2013,serie_2,726
17-01-1900,10,2013,serie_1,1812
17-01-1900,10,2013,serie_2,702
18-01-1900,10,2013,serie_1,1324
18-01-1900,10,2013,serie_2,516
19-01-1900,10,2013,serie_1,0
19-01-1900,10,2013,serie_2,5
20-01-1900,10,2013,serie_1,0
20-01-1900,10,2013,serie_2,5
21-01-1900,10,2013,serie_2,1259
21-01-1900,10,2013,serie_1,3368
22-01-1900,10,2013,serie_2,691
22-01-1900,10,2013,serie_1,1766
23-01-1900,10,2013,serie_1,1891
23-01-1900,10,2013,serie_2,713
24-01-1900,10,2013,serie_2,727
24-01-1900,10,2013,serie_1,1995
25-01-1900,10,2013,serie_1,1509
25-01-1900,10,2013,serie_2,609
26-01-1900,10,2013,serie_1,0
26-01-1900,10,2013,serie_2,5
27-01-1900,10,2013,serie_2,5
27-01-1900,10,2013,serie_1,0
28-01-1900,10,2013,serie_2,1490
28-01-1900,10,2013,serie_1,3966
29-01-1900,10,2013,serie_1,2213
29-01-1900,10,2013,serie_2,807
30-01-1900,10,2013,serie_1,2187
30-01-1900,10,2013,serie_2,866
31-01-1900,10,2013,serie_2,695
31-01-1900,10,2013,serie_1,1670
01-01-1900,11,2013,serie_1,1274
01-01-1900,11,2013,serie_2,561
02-01-1900,11,2013,serie_1,0
02-01-1900,11,2013,serie_2,5
03-01-1900,11,2013,serie_2,5
03-01-1900,11,2013,serie_1,0
04-01-1900,11,2013,serie_1,4143
04-01-1900,11,2013,serie_2,1786
05-01-1900,11,2013,serie_2,847
05-01-1900,11,2013,serie_1,2228
06-01-1900,11,2013,serie_1,2133
06-01-1900,11,2013,serie_2,858
07-01-1900,11,2013,serie_1,2086
07-01-1900,11,2013,serie_2,808
08-01-1900,11,2013,serie_1,1390
08-01-1900,11,2013,serie_2,550
09-01-1900,11,2013,serie_1,0
09-01-1900,11,2013,serie_2,5
10-01-1900,11,2013,serie_2,5
10-01-1900,11,2013,serie_1,0
11-01-1900,11,2013,serie_1,3222
11-01-1900,11,2013,serie_2,1228
12-01-1900,11,2013,serie_2,820
12-01-1900,11,2013,serie_1,2160
13-01-1900,11,2013,serie_2,784
13-01-1900,11,2013,serie_1,2054
14-01-1900,11,2013,serie_2,817
14-01-1900,11,2013,serie_1,2116
15-01-1900,11,2013,serie_2,546
15-01-1900,11,2013,serie_1,1366
16-01-1900,11,2013,serie_2,5
16-01-1900,11,2013,serie_1,0
17-01-1900,11,2013,serie_2,5
17-01-1900,11,2013,serie_1,0
18-01-1900,11,2013,serie_1,3744
18-01-1900,11,2013,serie_2,1537
19-01-1900,11,2013,serie_2,832
19-01-1900,11,2013,serie_1,2150
20-01-1900,11,2013,serie_1,2042
20-01-1900,11,2013,serie_2,853
21-01-1900,11,2013,serie_1,2052
21-01-1900,11,2013,serie_2,822
22-01-1900,11,2013,serie_1,1602
22-01-1900,11,2013,serie_2,648
23-01-1900,11,2013,serie_1,0
23-01-1900,11,2013,serie_2,5
24-01-1900,11,2013,serie_2,884
24-01-1900,11,2013,serie_1,2300
25-01-1900,11,2013,serie_2,951
25-01-1900,11,2013,serie_1,2406
26-01-1900,11,2013,serie_2,908
26-01-1900,11,2013,serie_1,2202
27-01-1900,11,2013,serie_1,2364
27-01-1900,11,2013,serie_2,958
28-01-1900,11,2013,serie_1,2474
28-01-1900,11,2013,serie_2,1094
29-01-1900,11,2013,serie_1,1839
29-01-1900,11,2013,serie_2,799
30-01-1900,11,2013,serie_1,0
30-01-1900,11,2013,serie_2,5
01-01-1900,12,2013,serie_1,2583
01-01-1900,12,2013,serie_2,1063
02-01-1900,12,2013,serie_2,1158
02-01-1900,12,2013,serie_1,2903
03-01-1900,12,2013,serie_2,1038
03-01-1900,12,2013,serie_1,2507
04-01-1900,12,2013,serie_2,1017
04-01-1900,12,2013,serie_1,2360
05-01-1900,12,2013,serie_1,2277
05-01-1900,12,2013,serie_2,925
06-01-1900,12,2013,serie_1,1733
06-01-1900,12,2013,serie_2,826
07-01-1900,12,2013,serie_2,5
07-01-1900,12,2013,serie_1,0
08-01-1900,12,2013,serie_1,2758
08-01-1900,12,2013,serie_2,1105
09-01-1900,12,2013,serie_1,2794
09-01-1900,12,2013,serie_2,1127
10-01-1900,12,2013,serie_1,2399
10-01-1900,12,2013,serie_2,986
11-01-1900,12,2013,serie_2,1110
11-01-1900,12,2013,serie_1,2406
12-01-1900,12,2013,serie_1,2460
12-01-1900,12,2013,serie_2,1033
13-01-1900,12,2013,serie_2,781
13-01-1900,12,2013,serie_1,1865
14-01-1900,12,2013,serie_1,0
14-01-1900,12,2013,serie_2,5
15-01-1900,12,2013,serie_2,1289
15-01-1900,12,2013,serie_1,3028
16-01-1900,12,2013,serie_1,3273
16-01-1900,12,2013,serie_2,1382
17-01-1900,12,2013,serie_2,1476
17-01-1900,12,2013,serie_1,3468
18-01-1900,12,2013,serie_1,3181
18-01-1900,12,2013,serie_2,1416
19-01-1900,12,2013,serie_2,1457
19-01-1900,12,2013,serie_1,3360
20-01-1900,12,2013,serie_2,1199
20-01-1900,12,2013,serie_1,2654
21-01-1900,12,2013,serie_2,5
21-01-1900,12,2013,serie_1,0
22-01-1900,12,2013,serie_2,1767
22-01-1900,12,2013,serie_1,4614
23-01-1900,12,2013,serie_1,4653
23-01-1900,12,2013,serie_2,2106
24-01-1900,12,2013,serie_1,1006
24-01-1900,12,2013,serie_2,360
25-01-1900,12,2013,serie_1,1
25-01-1900,12,2013,serie_2,5
26-01-1900,12,2013,serie_1,1647
26-01-1900,12,2013,serie_2,892
27-01-1900,12,2013,serie_2,1327
27-01-1900,12,2013,serie_1,3850
28-01-1900,12,2013,serie_2,5
28-01-1900,12,2013,serie_1,0
29-01-1900,12,2013,serie_1,3554
29-01-1900,12,2013,serie_2,1226
30-01-1900,12,2013,serie_1,3389
30-01-1900,12,2013,serie_2,1232
31-01-1900,12,2013,serie_1,1025
31-01-1900,12,2013,serie_2,356
01-01-1900,1,2014,serie_1,0
01-01-1900,1,2014,serie_2,5
02-01-1900,1,2014,serie_1,4119
02-01-1900,1,2014,serie_2,1526
03-01-1900,1,2014,serie_1,2354
03-01-1900,1,2014,serie_2,830
04-01-1900,1,2014,serie_1,0
04-01-1900,1,2014,serie_2,5
05-01-1900,1,2014,serie_2,1065
05-01-1900,1,2014,serie_1,2937
06-01-1900,1,2014,serie_1,2731
06-01-1900,1,2014,serie_2,1025
07-01-1900,1,2014,serie_1,2380
07-01-1900,1,2014,serie_2,896
08-01-1900,1,2014,serie_2,948
08-01-1900,1,2014,serie_1,2416
09-01-1900,1,2014,serie_1,2556
09-01-1900,1,2014,serie_2,998
10-01-1900,1,2014,serie_2,661
10-01-1900,1,2014,serie_1,1867
11-01-1900,1,2014,serie_2,5
11-01-1900,1,2014,serie_1,0
12-01-1900,1,2014,serie_2,941
12-01-1900,1,2014,serie_1,2657
13-01-1900,1,2014,serie_2,909
13-01-1900,1,2014,serie_1,2508
14-01-1900,1,2014,serie_2,842
14-01-1900,1,2014,serie_1,2440
15-01-1900,1,2014,serie_2,906
15-01-1900,1,2014,serie_1,2381
16-01-1900,1,2014,serie_1,2381
16-01-1900,1,2014,serie_2,930
17-01-1900,1,2014,serie_1,1849
17-01-1900,1,2014,serie_2,648
18-01-1900,1,2014,serie_1,0
18-01-1900,1,2014,serie_2,5
19-01-1900,1,2014,serie_2,924
19-01-1900,1,2014,serie_1,2608
20-01-1900,1,2014,serie_2,934
20-01-1900,1,2014,serie_1,2501
21-01-1900,1,2014,serie_2,838
21-01-1900,1,2014,serie_1,2234
22-01-1900,1,2014,serie_2,832
22-01-1900,1,2014,serie_1,2290
